"KUMPULAN_PENDAPATAN","BUATAN","NAMA_MODEL_YANG_SEBENAR","Count(NO_IR)"
"M4","HYUNDAI","I10",10
"M4","HYUNDAI","I30",3
"M4","HYUNDAI","I40",20
"M4","HYUNDAI","IONIQ",114
"M4","HYUNDAI","KONA",14
"M4","HYUNDAI","MATRIX",63
"M4","HYUNDAI","SONATA",327
"M4","HYUNDAI","STARIA",28
"M4","HYUNDAI","TRAJET",22
"M4","HYUNDAI","TUCSON",405
"M4","HYUNDAI","VELOSTER",23
"M4","INFINITI","EX25",1
"M4","INFINITI","M25",1
"M4","INFINITI","Q50",5
"M4","INOKOM CORPORATION SDN. BHD.","ATOS",674
"M4","INOKOM CORPORATION SDN. BHD.","ELANTRA",529
"M4","INOKOM CORPORATION SDN. BHD.","GETZ",143
"M4","INOKOM CORPORATION SDN. BHD.","I10",260
"M4","INOKOM CORPORATION SDN. BHD.","MATRIX",452
"M4","ISUZU","TROOPER",22
"M4","JAGUAR","F-PACE",3
"M4","JAGUAR","F-TYPE",1
"M4","JAGUAR","S-TYPE",1
"M4","JAGUAR","X-TYPE",1
"M4","JAGUAR","XE",2
"M4","JAGUAR","XF",20
"M4","JAGUAR","XJ",3
"M4","JAGUAR","XJ6",1
"M4","JEEP","WRANGLER",4
"M4","KIA","CARNIVAL",232
"M4","KIA","CERATO",647
"M4","KIA","FORTE",28
"M4","KIA","OPTIMA",93
"M4","KIA","PICANTO",342
"M4","KIA","PREGIO",21
"M4","KIA","RIO",246
"M4","KIA","ROCSTA",1
"M4","KIA","SORENTO",180
"M4","KIA","SPECTRA",55
"M4","KIA","SPORTAGE",402
"M4","LAMBORGHINI","AVENTADOR",2
"M4","LAMBORGHINI","HURACAN",5
"M4","LAMBORGHINI","URUS",4
"M4","LAND ROVER","DEFENDER",30
"M4","LAND ROVER","DISCOVERY",2
"M4","LAND ROVER","FREELANDER",16
"M4","LAND ROVER","RANGER",3
"M4","LEXUS","CT200H",149
"M4","LEXUS","GS250",8
"M4","LEXUS","GS300",8
"M4","LEXUS","GS350",1
"M4","LEXUS","IS200T",2
"M4","LEXUS","IS250",35
"M4","LEXUS","IS300",9
"M4","LEXUS","LC500",1
"M4","LEXUS","LS460L",1
"M4","LEXUS","LX570",13
"M4","LEXUS","LX600",1
"M4","LEXUS","NX200T",70
"M4","LEXUS","NX300",59
"M4","LEXUS","RC300",3
"M4","LEXUS","RX200T",90
"M4","LEXUS","RX270",66
"M4","LEXUS","RX300",152
"M4","LEXUS","RX350",90
"M4","LEXUS","UX200",2
"M4","MASERATI","GHIBLI",7
"M4","MASERATI","LEVANTE",11
"M4","MASERATI","QUATTROPORTE",1
"M4","MAZDA","2",884
"M4","MAZDA","3",1177
"M4","MAZDA","323",3
"M4","MAZDA","5",74
"M4","MAZDA","6",236
"M4","MAZDA","8",71
"M4","MAZDA","B2200",2
"M4","MAZDA","BIANTE",104
"M4","MAZDA","CX-3",129
"M4","MAZDA","CX-30",589
"M4","MAZDA","CX-5",1738
"M4","MAZDA","CX-7",21
"M4","MAZDA","CX-8",331
"M4","MAZDA","CX-9",10
"M4","MAZDA","MX-5",3
"M4","MAZDA","PREMACY",9
"M4","MAZDA","ROADSTER",5
"M4","MAZDA","RX-7",2
"M4","MAZDA","RX-8",26
"M4","MCLAREN","570S",3
"M4","MCLAREN","720S",1
"M4","MERCEDES BENZ","190E",2
"M4","MERCEDES BENZ","200",9
"M4","MERCEDES BENZ","230E",59
"M4","MERCEDES BENZ","260E",4
"M4","MERCEDES BENZ","A180",293
"M4","MERCEDES BENZ","A200",135
"M4","MERCEDES BENZ","A250",168
"M4","MERCEDES BENZ","B170",22
"M4","MERCEDES BENZ","B180",50
"M4","MERCEDES BENZ","B200",12
"M4","MERCEDES BENZ","C180",255
"M4","MERCEDES BENZ","C180-W203",15
"M4","MERCEDES BENZ","C180K",21
"M4","MERCEDES BENZ","C200",716
"M4","MERCEDES BENZ","C200K",85
"M4","MERCEDES BENZ","C220",20
"M4","MERCEDES BENZ","C230K",3
"M4","MERCEDES BENZ","C240",2
"M4","MERCEDES BENZ","C250",61
"M4","MERCEDES BENZ","C300",60
"M4","MERCEDES BENZ","CLA180",120
"M4","MERCEDES BENZ","CLA200",45
"M4","MERCEDES BENZ","CLA220",6
"M4","MERCEDES BENZ","CLA250",32
"M4","MERCEDES BENZ","CLK200K",3
"M4","MERCEDES BENZ","CLK230K",1
"M4","MERCEDES BENZ","CLK240",2
"M4","MERCEDES BENZ","CLS350",26
"M4","MERCEDES BENZ","CLS400",3
"M4","MERCEDES BENZ","E200",256
"M4","MERCEDES BENZ","E200K",75
"M4","MERCEDES BENZ","E230",82
"M4","MERCEDES BENZ","E240",157
"M4","MERCEDES BENZ","E250",628
"M4","MERCEDES BENZ","E280",13
"M4","MERCEDES BENZ","E300",119
"M4","MERCEDES BENZ","E350",43
"M4","MERCEDES BENZ","G350",2
"M4","MERCEDES BENZ","GLA180",22
"M4","MERCEDES BENZ","GLA200",32
"M4","MERCEDES BENZ","GLA220",7
"M4","MERCEDES BENZ","GLA250",92
"M4","MERCEDES BENZ","GLC200",7
"M4","MERCEDES BENZ","GLC250",235
"M4","MERCEDES BENZ","GLC300",2
"M4","MERCEDES BENZ","GLE400",1
"M4","MERCEDES BENZ","GLE450",5
"M4","MERCEDES BENZ","ML350",14
"M4","MERCEDES BENZ","R280L",3
"M4","MERCEDES BENZ","R350",5
"M4","MERCEDES BENZ","S280",13
"M4","MERCEDES BENZ","S320L",1
"M4","MERCEDES BENZ","S350",9
"M4","MERCEDES BENZ","S350L",15
"M4","MERCEDES BENZ","S400L",124
"M4","MERCEDES BENZ","S500",1
"M4","MERCEDES BENZ","SL320",1
"M4","MERCEDES BENZ","SL350",4
"M4","MERCEDES BENZ","SLC180",1
"M4","MERCEDES BENZ","SLC200",3
"M4","MERCEDES BENZ","SLC300",1
"M4","MERCEDES BENZ","SLK200",27
"M4","MERCEDES BENZ","SLK200K",10
"M4","MERCEDES BENZ","SLK250",3
"M4","MERCEDES BENZ","SPRINTER",1
"M4","MERCEDES BENZ","VITO",3
"M4","MINI","CLUBMAN",10
"M4","MINI","COOPER",268
"M4","MINI","COUNTRYMAN",25
"M4","MINI","ONE",11
"M4","MITSUBISHI","AIRTREK",18
"M4","MITSUBISHI","ASX",720
"M4","MITSUBISHI","ATTRAGE",191
"M4","MITSUBISHI","COLT",4
"M4","MITSUBISHI","DELICA",8
"M4","MITSUBISHI","FTO",1
"M4","MITSUBISHI","GRANDIS",128
"M4","MITSUBISHI","L200",19
"M4","MITSUBISHI","LANCER",357
"M4","MITSUBISHI","MIRAGE",293
"M4","MITSUBISHI","OUTLANDER",446
"M4","MITSUBISHI","PAJERO",318
"M4","MITSUBISHI","STORM",6
"M4","MITSUBISHI","TRITON",2126
"M4","MITSUBISHI","WALD",4
"M4","MITSUBISHI","XPANDER",2556
"M4","MITSUOKA MOTOR CO. LTD. JAPAN","HARRIER",1
"M4","MUSTANG","MUSTANG",1
"M4","NAZA","CITRA",1189
"M4","NAZA","FORTE",864
"M4","NAZA","PICANTO",45
"M4","NAZA","RIA",267
"M4","NAZA","SORENTO",36
"M4","NAZA","SURIA",117
"M4","NISSAN","ALMERA",5208
"M4","NISSAN","CEFIRO",145
"M4","NISSAN","CUBE",3
"M4","NISSAN","ELGRAND",27
"M4","NISSAN","FRONTIER",273
"M4","NISSAN","GT-R",17
"M4","NISSAN","JUKE",16
"M4","NISSAN","LATIO",445
"M4","NISSAN","MURANO",54
"M4","NISSAN","NAVARA",1266
"M4","NISSAN","NV200",2
"M4","NISSAN","SENTRA",1328
"M4","NISSAN","SERENA",1632
"M4","NISSAN","SKYLINE",3
"M4","NISSAN","SUNNY",38
"M4","NISSAN","SYLPHY",722
"M4","NISSAN","TEANA",752
"M4","NISSAN","TERRANO",4
"M4","NISSAN","URVAN",82
"M4","NISSAN","VANETTE",1040
"M4","NISSAN","X-TRAIL",2532
"M4","OPEL","ZAFIRA",4
"M4","PERODUA","ALZA",16761
"M4","PERODUA","ARUZ",5515
"M4","PERODUA","ATIVA",3979
"M4","PERODUA","AXIA",23401
"M4","PERODUA","BEZZA",11326
"M4","PERODUA","KANCIL",11956
"M4","PERODUA","KELISA",5901
"M4","PERODUA","KEMBARA",1304
"M4","PERODUA","KENARI",3738
"M4","PERODUA","MYVI",46809
"M4","PERODUA","RUSA",216
"M4","PERODUA","VIVA",12981
"M4","PERODUA","WIRA",2
"M4","PEUGEOT","2008",114
"M4","PEUGEOT","207",95
"M4","PEUGEOT","208",203
"M4","PEUGEOT","3008",415
"M4","PEUGEOT","306",1
"M4","PEUGEOT","308",146
"M4","PEUGEOT","407",37
"M4","PEUGEOT","408",187
"M4","PEUGEOT","5008",94
"M4","PEUGEOT","508",122
"M4","PEUGEOT","LANDTREK",1
"M4","PEUGEOT","RCZ",18
"M4","PEUGEOT","TRAVELLER",4
"M4","PORSCHE","718",43
"M4","PORSCHE","911",45
"M4","PORSCHE","BOXSTER",6
"M4","PORSCHE","CAYENNE",130
"M4","PORSCHE","CAYMAN",33
"M4","PORSCHE","MACAN",91
"M4","PORSCHE","PANAMERA",30
"M4","PROTON","ARENA",119
"M4","PROTON","ERTIGA",605
"M4","PROTON","EXORA",7430
"M4","PROTON","GEN-2",2
"M4","PROTON","GEN2",142
"M4","PROTON","INSPIRA",812
"M4","PROTON","IRIZ",2890
"M4","PROTON","ISWARA",2567
"M4","PROTON","JUARA",46
"M4","PROTON","KANCIL",20
"M4","PROTON","KEMBARA",1
"M4","PROTON","KENARI",1
"M4","PROTON","PERDANA",743
"M4","PROTON","PERSONA",11391
"M4","PROTON","PREVE",2183
"M4","PROTON","PUTRA",1
"M4","PROTON","SAGA",20649
"M4","PROTON","SATRIA",1453
"M4","PROTON","SAVVY",94
"M4","PROTON","TIARA",3
"M4","PROTON","WAJA",5232
"M4","PROTON","WIRA",12667
"M4","PROTON","X50",4893
"M4","PROTON","X70",4837
"M4","PROTON","X90",273
"M4","RENAULT","CAPTUR",89
"M4","RENAULT","CLIO",7
"M4","RENAULT","FLUENCE",32
"M4","RENAULT","KANGOO",18
"M4","RENAULT","KOLEOS",16
"M4","RENAULT","MEGANE",7
"M4","ROLLS ROYCE","WRAITH",1
"M4","ROVER","RANGER",1
"M4","SMART","CITY",4
"M4","SMART","FORFOUR",13
"M4","SMART","FORTWO",13
"M4","SMART","ROADSTER",2
"M4","SSANGYONG","ACTYON",2
"M4","SSANGYONG","STAVIC",13
"M4","SUBARU","BRZ",22
"M4","SUBARU","FORESTER",563
"M4","SUBARU","IMPREZA",18
"M4","SUBARU","LEGACY",2
"M4","SUBARU","LEVORG",1
"M4","SUBARU","WRX",4
"M4","SUBARU","XV",673
"M4","SUZUKI","ALTO",97
"M4","SUZUKI","APV",11
"M4","SUZUKI","JIMNY",112
"M4","SUZUKI","KIZASHI",3
"M4","SUZUKI","SJ410VR",3
"M4","SUZUKI","SWIFT",1659
"M4","SUZUKI","SX4",169
"M4","SUZUKI","VITARA",148
"M4","TOYOTA","86",118
"M4","TOYOTA","ALPHARD",3017
"M4","TOYOTA","AVANZA",6161
"M4","TOYOTA","BB",1
"M4","TOYOTA","C-HR",400
"M4","TOYOTA","CALDINA",123
"M4","TOYOTA","CAMRY",5250
"M4","TOYOTA","CELICA",22
"M4","TOYOTA","CH-R",2
"M4","TOYOTA","COROLLA",1188
"M4","TOYOTA","CORONA",5
"M4","TOYOTA","CROWN",1
"M4","TOYOTA","DYNA",1
"M4","TOYOTA","ESQUIRE",2
"M4","TOYOTA","ESTIMA",3311
"M4","TOYOTA","FORTUNER",1426
"M4","TOYOTA","GR86",4
"M4","TOYOTA","GRANACE",1
"M4","TOYOTA","HARRIER",2128
"M4","TOYOTA","HIACE",405
"M4","TOYOTA","HILUX",10404
"M4","TOYOTA","INNOVA",3777
"M4","TOYOTA","IPSUM",8
"M4","TOYOTA","IS250",1
"M4","TOYOTA","LITEACE",106
"M4","TOYOTA","NADIA",3
"M4","TOYOTA","NOAH",41
"M4","TOYOTA","PREVIA",21
"M4","TOYOTA","PRIUS",631
"M4","TOYOTA","RAV4",77
"M4","TOYOTA","RUSH",1135
"M4","TOYOTA","RX270",2
"M4","TOYOTA","RX300",1
"M4","TOYOTA","SIENTA",323
"M4","TOYOTA","SPACIO",4
"M4","TOYOTA","SUPRA",7
"M4","TOYOTA","TANK",16
"M4","TOYOTA","UNSER",1546
"M4","TOYOTA","VANGUARD",9
"M4","TOYOTA","VELLFIRE",3682
"M4","TOYOTA","VELOZ",554
"M4","TOYOTA","VIOS",21429
"M4","TOYOTA","VITZ",1
"M4","TOYOTA","VOXY",288
"M4","TOYOTA","WALD",154
"M4","TOYOTA","WISH",2968
"M4","TOYOTA","YARIS",2801
"M4","VOLKSWAGEN","ARTEON",38
"M4","VOLKSWAGEN","BEETLE",298
"M4","VOLKSWAGEN","CC",63
"M4","VOLKSWAGEN","EOS",9
"M4","VOLKSWAGEN","GOLF",494
"M4","VOLKSWAGEN","JETTA",311
"M4","VOLKSWAGEN","PASSAT",619
"M4","VOLKSWAGEN","POLO",945
"M4","VOLKSWAGEN","SCIROCCO",52
"M4","VOLKSWAGEN","SHARAN",33
"M4","VOLKSWAGEN","TIGUAN",649
"M4","VOLKSWAGEN","TOUAREG",15
"M4","VOLKSWAGEN","TOURAN",39
"M4","VOLKSWAGEN","VENTO",282
"M4","VOLKSWAGEN","WALD",13
"M4","VOLVO","740",2
"M4","VOLVO","850",2
"M4","VOLVO","S40",46
"M4","VOLVO","S60",68
"M4","VOLVO","S70",6
"M4","VOLVO","S80",14
"M4","VOLVO","S90",14
"M4","VOLVO","V40",52
"M4","VOLVO","V50",5
"M4","VOLVO","V60",10
"M4","VOLVO","V90",1
"M4","VOLVO","XC40",133
"M4","VOLVO","XC60",159
"M4","VOLVO","XC90",112
"M4","WESTSTAR MAXUS","G10",57
"M4","WESTSTAR MAXUS","MAXUS",2
"T1","","CARNIVAL",2
"T1","","COOPER",2
"T1","","KANCIL",24
"T1","","KEMBARA",1
"T1","","ROCSTA",8
"T1","","RUSA",3
"T1","","SEPHIA",14
"T1","ALFA ROMEO","GIULIA",1
"T1","ALFA ROMEO","STELVIO",1
"T1","ASTON MARTIN","ALPHARD",1
"T1","AUDI","A1",6
"T1","AUDI","A3",40
"T1","AUDI","A4",227
"T1","AUDI","A5",120
"T1","AUDI","A6",128
"T1","AUDI","A7",13
"T1","AUDI","A8",2
"T1","AUDI","A8L",2
"T1","AUDI","NX200T",1
"T1","AUDI","Q3",58
"T1","AUDI","Q5",185
"T1","AUDI","Q7",83
"T1","AUDI","Q8",6
"T1","AUDI","R8",9
"T1","AUDI","RS3",2
"T1","AUDI","RS6",1
"T1","AUDI","S3",3
"T1","AUDI","S4",2
"T1","AUDI","S5",11
"T1","AUDI","TT",153
"T1","AUDI","TTS",1
"T1","AUDI","X-TRAIL",1
"T1","AUSTIN MORRIS","MORRIS",1
"T1","AVELING BARFORD","ALPHARD",1
"T1","AVELING BARFORD","VELLFIRE",1
"T1","BENTLEY","BENTAYGA",1
"T1","BENTLEY","CONTINENTAL",9
"T1","BISON","SAVANNA",1
"T1","BMW","116I",19
"T1","BMW","118I",101
"T1","BMW","120I",23
"T1","BMW","218I",253
"T1","BMW","220I",16
"T1","BMW","316I",148
"T1","BMW","318CI",2
"T1","BMW","318I",424
"T1","BMW","320D",97
"T1","BMW","320I",1081
"T1","BMW","323I",86
"T1","BMW","325I",109
"T1","BMW","328CI",1
"T1","BMW","328I",210
"T1","BMW","330E",407
"T1","BMW","330I",252
"T1","BMW","330LI",38
"T1","BMW","335I",5
"T1","BMW","420I",16
"T1","BMW","428I",19
"T1","BMW","430I",11
"T1","BMW","520D",79
"T1","BMW","520I",303
"T1","BMW","523I",323
"T1","BMW","525I",205
"T1","BMW","528I",280
"T1","BMW","530E",232
"T1","BMW","530I",281
"T1","BMW","535I",21
"T1","BMW","630I",25
"T1","BMW","640I",7
"T1","BMW","645CI",3
"T1","BMW","728I",2
"T1","BMW","730LD",3
"T1","BMW","730LI",50
"T1","BMW","740I",2
"T1","BMW","740LE",25
"T1","BMW","740LI",9
"T1","BMW","840I",6
"T1","BMW","CLUBMAN",3
"T1","BMW","COOPER",104
"T1","BMW","COUNTRYMAN",1
"T1","BMW","I8",4
"T1","BMW","M135I",2
"T1","BMW","M2",11
"T1","BMW","M3",2
"T1","BMW","M340I",24
"T1","BMW","M4",12
"T1","BMW","M5",8
"T1","BMW","M8",1
"T1","BMW","ONE",2
"T1","BMW","X1",587
"T1","BMW","X2",4
"T1","BMW","X3",340
"T1","BMW","X4",206
"T1","BMW","X5",524
"T1","BMW","X6",111
"T1","BMW","X7",5
"T1","BMW","Z3",3
"T1","BMW","Z4",35
"T1","CHERY","EASTAR",92
"T1","CHEVROLET","AVEO",152
"T1","CHEVROLET","CAPTIVA",39
"T1","CHEVROLET","COLORADO",90
"T1","CHEVROLET","CRUZE",89
"T1","CHEVROLET","MALIBU",24
"T1","CHEVROLET","OPTRA",56
"T1","CHEVROLET","OPTRA5",1
"T1","CHEVROLET","ORLANDO",32
"T1","CHEVROLET","SONIC",24
"T1","CHRYSLER","WRANGLER",2
"T1","CITROEN","C4",2
"T1","CITROEN","DS3",3
"T1","CITROEN","DS5",4
"T1","DAIHATSU","COPEN",1
"T1","DAIHATSU","DELTA",4
"T1","DAIHATSU","FEROZA",11
"T1","DAIHATSU","TAFT",10
"T1","FERRARI","CALIFORNIA",1
"T1","FERRARI","F430",2
"T1","FIAT","500",2
"T1","FORD","ECOSPORT",88
"T1","FORD","ESCAPE",32
"T1","FORD","EVEREST",24
"T1","FORD","FIESTA",662
"T1","FORD","FOCUS",250
"T1","FORD","KUGA",92
"T1","FORD","LASER",11
"T1","FORD","MONDEO",8
"T1","FORD","MUSTANG",94
"T1","FORD","RANGER",3849
"T1","FORD","S-MAX",4
"T1","FOTON","VIEW",27
"T1","GOLDEN DRAGON","X5",5
"T1","GREAT WALL","H1",21
"T1","GREAT WALL","M4",89
"T1","HONDA","ACCENT",1
"T1","HONDA","ACCORD",4794
"T1","HONDA","BR-V",3794
"T1","HONDA","CITY",23119
"T1","HONDA","CIVIC",10886
"T1","HONDA","COROLLA",1
"T1","HONDA","CR-V",8531
"T1","HONDA","CR-Z",284
"T1","HONDA","CROSSROAD",1
"T1","HONDA","CRX",1
"T1","HONDA","ELYSION",30
"T1","HONDA","FIT",3
"T1","HONDA","FREED",217
"T1","HONDA","HR-V",10170
"T1","HONDA","INSIGHT",381
"T1","HONDA","INTEGRA",14
"T1","HONDA","JADE",31
"T1","HONDA","JAZZ",6471
"T1","HONDA","N-BOX",4
"T1","HONDA","ODYSSEY",771
"T1","HONDA","S2000",3
"T1","HONDA","S660",6
"T1","HONDA","SENTRA",1
"T1","HONDA","SHUTTLE",2
"T1","HONDA","STREAM",959
"T1","HONDA","WALD",25
"T1","HONDA","WR-V",438
"T1","HUMMER","H2",1
"T1","HUMMER","H3",2
"T1","HYUNDAI","ACCENT",229
"T1","HYUNDAI","ATOS",1
"T1","HYUNDAI","ELANTRA",364
"T1","HYUNDAI","GETZ",446
"T1","HYUNDAI","I10",14
"T1","HYUNDAI","I30",6
"T1","HYUNDAI","I40",33
"T1","HYUNDAI","IONIQ",159
"T1","HYUNDAI","KONA",24
"T1","HYUNDAI","MATRIX",79
"T1","HYUNDAI","SONATA",422
"T1","HYUNDAI","STARIA",38
"T1","HYUNDAI","TRAJET",20
"T1","HYUNDAI","TUCSON",577
"T1","HYUNDAI","VELOSTER",44
"T1","INFINITI","FX37",2
"T1","INFINITI","Q50",12
"T1","INFINITI","QX70",3
"T1","INOKOM CORPORATION SDN. BHD.","ATOS",827
"T1","INOKOM CORPORATION SDN. BHD.","ELANTRA",670
"T1","INOKOM CORPORATION SDN. BHD.","GETZ",183
"T1","INOKOM CORPORATION SDN. BHD.","I10",332
"T1","INOKOM CORPORATION SDN. BHD.","MATRIX",510
"T1","ISUZU","TROOPER",24
"T1","JAGUAR","F-PACE",2
"T1","JAGUAR","F-TYPE",1
"T1","JAGUAR","S-TYPE",4
"T1","JAGUAR","XE",1
"T1","JAGUAR","XF",22
"T1","JAGUAR","XJ",7
"T1","JAGUAR","XJ6",2
"T1","JEEP","WRANGLER",22
"T1","KIA","CARNIVAL",381
"T1","KIA","CERATO",775
"T1","KIA","FORTE",41
"T1","KIA","OPTIMA",94
"T1","KIA","PICANTO",450
"T1","KIA","PREGIO",34
"T1","KIA","RIO",324
"T1","KIA","ROCSTA",1
"T1","KIA","SORENTO",261
"T1","KIA","SPECTRA",54
"T1","KIA","SPORTAGE",510
"T1","LAMBORGHINI","AVENTADOR",1
"T1","LAMBORGHINI","GALLARDO",4
"T1","LAMBORGHINI","HURACAN",7
"T1","LAMBORGHINI","URUS",7
"T1","LAND ROVER","DEFENDER",42
"T1","LAND ROVER","DISCOVERY",1
"T1","LAND ROVER","FREELANDER",13
"T1","LAND ROVER","RANGER",4
"T1","LEXUS","CT200H",190
"T1","LEXUS","GS250",12
"T1","LEXUS","GS300",7
"T1","LEXUS","GS350",2
"T1","LEXUS","IS200T",3
"T1","LEXUS","IS250",47
"T1","LEXUS","IS300",5
"T1","LEXUS","LC500",2
"T1","LEXUS","LS460",1
"T1","LEXUS","LS460L",2
"T1","LEXUS","LS500",1
"T1","LEXUS","LX570",17
"T1","LEXUS","NX200T",90
"T1","LEXUS","NX300",62
"T1","LEXUS","RC200T",1
"T1","LEXUS","RC300",3
"T1","LEXUS","RX200T",133
"T1","LEXUS","RX270",94
"T1","LEXUS","RX300",168
"T1","LEXUS","RX350",117
"T1","LEXUS","RX450H",3
"T1","LEXUS","UX200",4
"T1","MASERATI","GHIBLI",12
"T1","MASERATI","GRANTURISMO",1
"T1","MASERATI","LEVANTE",12
"T1","MASERATI","QUATTROPORTE",1
"T1","MAZDA","2",1037
"T1","MAZDA","3",1337
"T1","MAZDA","323",3
"T1","MAZDA","5",111
"T1","MAZDA","6",321
"T1","MAZDA","8",104
"T1","MAZDA","AXELA",2
"T1","MAZDA","B2200",1
"T1","MAZDA","BIANTE",133
"T1","MAZDA","CX-3",174
"T1","MAZDA","CX-30",716
"T1","MAZDA","CX-5",2398
"T1","MAZDA","CX-7",26
"T1","MAZDA","CX-8",595
"T1","MAZDA","CX-9",3
"T1","MAZDA","LANTIS",1
"T1","MAZDA","MX-5",7
"T1","MAZDA","PREMACY",6
"T1","MAZDA","ROADSTER",8
"T1","MAZDA","RX-7",4
"T1","MAZDA","RX-8",21
"T1","MCLAREN","570S",1
"T1","MCLAREN","720S",2
"T1","MERCEDES BENZ","190E",2
"T1","MERCEDES BENZ","200",16
"T1","MERCEDES BENZ","230E",60
"T1","MERCEDES BENZ","260E",8
"T1","MERCEDES BENZ","300CE",1
"T1","MERCEDES BENZ","300SL",1
"T1","MERCEDES BENZ","A180",360
"T1","MERCEDES BENZ","A200",172
"T1","MERCEDES BENZ","A250",215
"T1","MERCEDES BENZ","B170",40
"T1","MERCEDES BENZ","B180",72
"T1","MERCEDES BENZ","B200",8
"T1","MERCEDES BENZ","C180",318
"T1","MERCEDES BENZ","C180-W203",17
"T1","MERCEDES BENZ","C180K",26
"T1","MERCEDES BENZ","C200",936
"T1","MERCEDES BENZ","C200K",100
"T1","MERCEDES BENZ","C220",16
"T1","MERCEDES BENZ","C230K",1
"T1","MERCEDES BENZ","C240",8
"T1","MERCEDES BENZ","C250",99
"T1","MERCEDES BENZ","C300",107
"T1","MERCEDES BENZ","CLA180",149
"T1","MERCEDES BENZ","CLA200",82
"T1","MERCEDES BENZ","CLA220",6
"T1","MERCEDES BENZ","CLA250",51
"T1","MERCEDES BENZ","CLK200K",1
"T1","MERCEDES BENZ","CLK240",9
"T1","MERCEDES BENZ","CLS350",38
"T1","MERCEDES BENZ","CLS450",1
"T1","MERCEDES BENZ","E200",338
"T1","MERCEDES BENZ","E200K",77
"T1","MERCEDES BENZ","E230",84
"T1","MERCEDES BENZ","E240",215
"T1","MERCEDES BENZ","E250",801
"T1","MERCEDES BENZ","E280",19
"T1","MERCEDES BENZ","E300",168
"T1","MERCEDES BENZ","E350",59
"T1","MERCEDES BENZ","E400",1
"T1","MERCEDES BENZ","G350",3
"T1","MERCEDES BENZ","GLA180",46
"T1","MERCEDES BENZ","GLA200",52
"T1","MERCEDES BENZ","GLA220",5
"T1","MERCEDES BENZ","GLA250",104
"T1","MERCEDES BENZ","GLC200",13
"T1","MERCEDES BENZ","GLC250",326
"T1","MERCEDES BENZ","GLC300",4
"T1","MERCEDES BENZ","GLE400",3
"T1","MERCEDES BENZ","GLE43",1
"T1","MERCEDES BENZ","GLE450",4
"T1","MERCEDES BENZ","GLE63",1
"T1","MERCEDES BENZ","ML350",11
"T1","MERCEDES BENZ","R280L",5
"T1","MERCEDES BENZ","R350",2
"T1","MERCEDES BENZ","R350L",3
"T1","MERCEDES BENZ","S280",18
"T1","MERCEDES BENZ","S350",23
"T1","MERCEDES BENZ","S350L",5
"T1","MERCEDES BENZ","S400L",149
"T1","MERCEDES BENZ","S500L",1
"T1","MERCEDES BENZ","SL350",6
"T1","MERCEDES BENZ","SL400",1
"T1","MERCEDES BENZ","SL55",1
"T1","MERCEDES BENZ","SLC200",2
"T1","MERCEDES BENZ","SLK200",45
"T1","MERCEDES BENZ","SLK200K",12
"T1","MERCEDES BENZ","SLK250",7
"T1","MERCEDES BENZ","V220",1
"T1","MERCEDES BENZ","VITO",1
"T1","MINI","CLUBMAN",10
"T1","MINI","COOPER",353
"T1","MINI","COUNTRYMAN",24
"T1","MINI","CROSSOVER",2
"T1","MINI","ONE",19
"T1","MINI","PACEMAN",2
"T1","MITSUBISHI","AIRTREK",26
"T1","MITSUBISHI","ASX",1000
"T1","MITSUBISHI","ATTRAGE",249
"T1","MITSUBISHI","COLT",7
"T1","MITSUBISHI","DELICA",13
"T1","MITSUBISHI","FTO",4
"T1","MITSUBISHI","GRANDIS",164
"T1","MITSUBISHI","L200",20
"T1","MITSUBISHI","LANCER",440
"T1","MITSUBISHI","MIRAGE",339
"T1","MITSUBISHI","OUTLANDER",733
"T1","MITSUBISHI","PAJERO",420
"T1","MITSUBISHI","STORM",6
"T1","MITSUBISHI","TRITON",2629
"T1","MITSUBISHI","WALD",8
"T1","MITSUBISHI","XPANDER",3334
"T1","MITSUOKA MOTOR CO. LTD. JAPAN","HARRIER",2
"T1","NAZA","CITRA",1468
"T1","NAZA","FORTE",1131
"T1","NAZA","PICANTO",39
"T1","NAZA","RIA",348
"T1","NAZA","SORENTO",47
"T1","NAZA","SURIA",154
"T1","NISSAN","ALMERA",5751
"T1","NISSAN","CEFIRO",179
"T1","NISSAN","CUBE",2
"T1","NISSAN","ELGRAND",41
"T1","NISSAN","FRONTIER",315
"T1","NISSAN","GT-R",37
"T1","NISSAN","GTR",1
"T1","NISSAN","JUKE",23
"T1","NISSAN","LATIO",491
"T1","NISSAN","MARCH",2
"T1","NISSAN","MURANO",82
"T1","NISSAN","NAVARA",1592
"T1","NISSAN","SENTRA",1558
"T1","NISSAN","SERENA",2538
"T1","NISSAN","SKYLINE",3
"T1","NISSAN","SUNNY",32
"T1","NISSAN","SYLPHY",896
"T1","NISSAN","TEANA",875
"T1","NISSAN","TERRANO",10
"T1","NISSAN","URVAN",114
"T1","NISSAN","VANETTE",1287
"T1","NISSAN","X-TRAIL",3375
"T1","OPEL","ZAFIRA",4
"T1","PERODUA","ALZA",16750
"T1","PERODUA","ARUZ",6258
"T1","PERODUA","ATIVA",4651
"T1","PERODUA","AVANZA",1
"T1","PERODUA","AXIA",26614
"T1","PERODUA","BEZZA",12209
"T1","PERODUA","KANCIL",13952
"T1","PERODUA","KELISA",7070
