TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,COUNT_NAMA_MODEL_YANG_SEBENAR
2022,MACAN,19
2022,MYVI,52723
2022,NAVARA,1341
2022,NX,37
2022,PASSAT,222
2022,PERSONA,11712
2022,RANGER,1808
2022,RUSH,1559
2022,RX300,21
2022,SAGA,40961
2022,SERENA,1552
2022,TRITON,4287
2022,URUS,5
2022,VIOS,16959
2022,VOXY,10
2022,X50,26993
2022,X70,4938
2022,XC60,358
2022,XC90,236
2022,XPANDER,8104
2022,YARIS,10033
2023,3,971
2023,320I,494
2023,530E,71
2023,ACCORD,221
2023,ALMERA,947
2023,ALZA,16845
2023,ARUZ,8609
2023,ATIVA,18671
2023,AXIA,37003
2023,BEZZA,46513
2023,CAMRY,754
2023,CARNIVAL,319
2023,CITY,15505
2023,CIVIC,4131
2023,COROLLA,8409
2023,CR-V,3991
2023,CX-3,392
2023,CX-30,2560
2023,CX-5,2752
2023,EXORA,1767
2023,FORESTER,77
2023,HIACE,60
2023,HILUX,7438
2023,HR-V,8606
2023,IRIZ,4662
2023,M5,2
2023,MYVI,41103
2023,OMODA,748
2023,PERSONA,14414
2023,RANGER,1929
2023,S90,13
2023,SAGA,39870
2023,SERENA,1443
2023,SWIFT,15
2023,TIGGO,48
2023,TIGUAN,369
2023,TRITON,2560
2023,VIOS,12038
2023,WR-V,2947
2023,X50,15111
2023,X70,2724
2023,X90,1610
2023,XPANDER,5097
2023,XV,227
2023,YARIS,6973
