BUATAN,TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,Count(DOSM_ID),CAR_AGE,PRICE(RM)
VOLVO,1991,940,48,33,65999
HONDA,1991,ACCORD,2915,33,12800
NISSAN,1991,CEFIRO,209,33,23800
HONDA,1991,CIVIC,3072,33,3000
PROTON,1991,COROLLA,1,33,9999
TOYOTA,1991,COROLLA,3129,33,9999
MITSUBISHI,1991,DELICA,326,33,8800
LANCIA,1991,DELTA,1,33,22800
TOYOTA,1991,DYNA,1,33,14850
DAIHATSU,1991,FEROZA,374,33,18800
TOYOTA,1991,HIACE,509,33,12835.2
SUZUKI,1991,VITARA,498,33,29800
MERCEDES BENZ,1992,300SL,21,32,106000
HONDA,1992,CIVIC,4149,32,28656.75
HONDA,1992,COROLLA,2,32,7900
TOYO UNPANKI,1992,COROLLA,1,32,7900
TOYOTA,1992,COROLLA,4899,32,7900
TOYOTA,1992,CORONA,247,32,5800
HONDA,1992,CRX,18,32,68800
MITSUBISHI,1992,GTO,5,32,69228.57143
DAIHATSU,1992,HIJET,24,32,9500
TOYOTA,1992,HILUX,390,32,54800
MAZDA,1992,RX-7,19,32,328888
PORSCHE,1992,SAGA,1,32,3150
PROTON,1992,SAGA,26062,32,3150
ALFA ROMEO,1993,155,4,31,22800
HONDA,1993,ACCORD,2577,31,2700
NISSAN,1993,C,2,31,199000
HONDA,1993,CIVIC,2916,31,61449.5
PROTON,1993,COROLLA,1,31,5012.666667
TOYOTA,1993,COROLLA,3748,31,5012.666667
HONDA,1993,INTEGRA,88,31,70500
TOYOTA,1993,LITEACE,1017,31,8500
MERCEDES BENZ,1994,290GD,2,30,225000
MAZDA,1994,323,226,30,23800
BMW,1994,325I,138,30,11500
HONDA,1994,ACCORD,3310,30,6466.666667
MERCEDES BENZ,1994,C200,75,30,8800
MERCEDES BENZ,1994,C220,194,30,9800
TOYOTA,1994,CAMRY,755,30,5650
HONDA,1994,CIVIC,3631,30,11274.75
PROTON,1994,COROLLA,1,30,6225
TOYOTA,1994,COROLLA,4455,30,6225
TOYOTA,1994,CRESTA,2,30,38844
TOYOTA,1994,ESTIMA,83,30,8980
