BUATAN,NAMA_MODEL_YANG_SEBENAR,TAHUN_DIBUAT,KUMPULAN_PENDAPATAN,Count(NO_IR)
KIA,CARNIVAL,1999,P1,14
BMW,COOPER,2002,P1,3
TOYOTA,HARRIER,1998,P1,1
PERODUA,KANCIL,1994,P1,61
PERODUA,KANCIL,1995,P1,121
PERODUA,KANCIL,1997,P1,30
PERODUA,KANCIL,1998,P1,13
PERODUA,KANCIL,1999,P1,12
PERODUA,KANCIL,2001,P1,1
PERODUA,KANCIL,2002,P1,2
PERODUA,KELISA,2001,P1,4
PERODUA,KEMBARA,1999,P1,3
PERODUA,KEMBARA,2001,P1,1
PERODUA,KEMBARA,2002,P1,2
PERODUA,KENARI,2001,P1,4
PERODUA,KENARI,2002,P1,1
ASIA,ROCSTA,1995,P1,5
PERODUA,RUSA,1996,P1,9
PERODUA,RUSA,1997,P1,4
KIA,SEPHIA,1999,P1,244
NISSAN,SERENA,1997,P1,1
ALFA ROMEO,147,2002,P1,2
ASIA,ROCSTA,1997,P1,1
AUDI,A1,2011,P1,8
AUDI,A1,2013,P1,2
AUDI,A3,2014,P1,25
AUDI,A3,2015,P1,23
AUDI,A3,2016,P1,13
AUDI,A4,2003,P1,9
AUDI,A4,2004,P1,18
AUDI,A4,2006,P1,19
AUDI,A4,2008,P1,32
AUDI,A4,2009,P1,48
AUDI,A4,2010,P1,68
AUDI,A4,2011,P1,75
AUDI,A4,2012,P1,85
AUDI,A4,2013,P1,67
AUDI,A4,2014,P1,42
AUDI,A4,2015,P1,36
AUDI,A4,2016,P1,30
AUDI,A4,2017,P1,14
AUDI,A4,2019,P1,3
AUDI,A5,2008,P1,3
AUDI,A5,2009,P1,56
AUDI,A5,2010,P1,78
AUDI,A5,2011,P1,57
AUDI,A5,2012,P1,38
AUDI,A5,2013,P1,26
AUDI,A5,2014,P1,15
AUDI,A5,2015,P1,4
AUDI,A5,2018,P1,2
AUDI,A5,2019,P1,4
AUDI,A5,2023,P1,3
AUDI,A6,2005,P1,9
AUDI,A6,2011,P1,13
AUDI,A6,2012,P1,17
AUDI,A6,2013,P1,206
AUDI,A6,2014,P1,7
AUDI,A6,2015,P1,14
AUDI,A7,2010,P1,5
AUDI,A7,2011,P1,12
AUDI,A7,2012,P1,7
AUDI,A7,2013,P1,5
AUDI,A7,2014,P1,1
AUDI,A7,2018,P1,1
AUDI,A8,2012,P1,1
AUDI,A8,2015,P1,2
AUDI,A8L,2013,P1,1
AUDI,ESTIMA,2010,P1,1
AUDI,Q3,2012,P1,11
AUDI,Q3,2013,P1,23
AUDI,Q3,2014,P1,22
AUDI,Q3,2015,P1,7
AUDI,Q3,2016,P1,14
AUDI,Q3,2017,P1,6
AUDI,Q3,2018,P1,2
AUDI,Q3,2019,P1,3
AUDI,Q3,2021,P1,1
AUDI,Q5,2009,P1,73
AUDI,Q5,2010,P1,74
AUDI,Q5,2011,P1,52
AUDI,Q5,2012,P1,54
AUDI,Q5,2013,P1,38
AUDI,Q5,2014,P1,25
AUDI,Q5,2015,P1,18
AUDI,Q5,2016,P1,6
AUDI,Q5,2019,P1,3
AUDI,Q5,2020,P1,2
AUDI,Q7,2007,P1,19
AUDI,Q7,2008,P1,24
AUDI,Q7,2010,P1,28
AUDI,Q7,2011,P1,56
AUDI,Q7,2012,P1,19
AUDI,Q7,2013,P1,10
AUDI,Q7,2014,P1,3
AUDI,Q7,2015,P1,4
AUDI,Q7,2016,P1,7
AUDI,Q8,2019,P1,1
AUDI,Q8,2020,P1,1
AUDI,R8,2007,P1,1
AUDI,R8,2008,P1,6
AUDI,R8,2009,P1,3
AUDI,R8,2010,P1,3
AUDI,RS3,2016,P1,1
AUDI,RS3,2018,P1,12
AUDI,RS3,2019,P1,1
AUDI,RS5,2013,P1,1
AUDI,RS5,2019,P1,1
AUDI,RS6,2013,P1,2
AUDI,RS6,2016,P1,1
AUDI,S3,2018,P1,1
AUDI,S4,2009,P1,8
AUDI,S4,2017,P1,1
AUDI,S5,2008,P1,3
AUDI,S5,2009,P1,2
AUDI,S5,2010,P1,14
AUDI,S5,2011,P1,6
AUDI,S5,2012,P1,3
AUDI,S5,2013,P1,4
AUDI,S5,2018,P1,2
AUDI,TT,1999,P1,5
AUDI,TT,2006,P1,10
AUDI,TT,2007,P1,98
AUDI,TT,2008,P1,68
AUDI,TT,2009,P1,38
AUDI,TT,2010,P1,15
AUDI,TT,2011,P1,14
AUDI,TT,2012,P1,5
AUDI,TT,2013,P1,4
AUDI,TT,2015,P1,7
AUDI,TT,2016,P1,12
AUDI,TT,2017,P1,5
AUDI,TT,2018,P1,1
AUDI,TTRS,2021,P1,1
AUDI,TTS,2017,P1,2
AUDI,WALD,2005,P1,3
AVELING BARFORD,VELLFIRE,2013,P1,1
BENTLEY,BENTAYGA,2016,P1,1
BENTLEY,BENTAYGA,2018,P1,3
BENTLEY,BENTAYGA,2020,P1,1
BENTLEY,BENTAYGA,2023,P1,1
BENTLEY,CONTINENTAL,2005,P1,10
BENTLEY,CONTINENTAL,2006,P1,8
BENTLEY,CONTINENTAL,2007,P1,12
BENTLEY,CONTINENTAL,2008,P1,7
BENTLEY,CONTINENTAL,2009,P1,1
BENTLEY,CONTINENTAL,2010,P1,5
BISON,SAVANNA,2013,P1,8
BMW,116I,2013,P1,13
BMW,116I,2014,P1,18
BMW,118I,2006,P1,9
BMW,118I,2008,P1,2
BMW,118I,2009,P1,3
BMW,118I,2013,P1,7
BMW,118I,2014,P1,21
BMW,118I,2015,P1,6
BMW,118I,2016,P1,34
BMW,118I,2017,P1,28
BMW,118I,2018,P1,10
BMW,120I,2015,P1,8
BMW,120I,2016,P1,9
BMW,218I,2015,P1,20
BMW,218I,2016,P1,20
BMW,218I,2020,P1,17
BMW,218I,2021,P1,67
BMW,218I,2022,P1,73
BMW,218I,2023,P1,47
BMW,220I,2015,P1,15
BMW,316I,2013,P1,79
BMW,316I,2014,P1,128
BMW,316I,2015,P1,80
BMW,318I,1991,P1,22
BMW,318I,1997,P1,67
BMW,318I,1999,P1,21
BMW,318I,2001,P1,97
BMW,318I,2002,P1,121
BMW,318I,2003,P1,113
BMW,318I,2004,P1,120
BMW,318I,2005,P1,25
BMW,318I,2015,P1,13
BMW,318I,2016,P1,72
BMW,318I,2017,P1,62
BMW,318I,2018,P1,63
BMW,318I,2019,P1,39
BMW,320D,2009,P1,9
BMW,320D,2010,P1,19
BMW,320D,2012,P1,57
BMW,320D,2013,P1,15
BMW,320D,2014,P1,22
BMW,320D,2015,P1,13
BMW,320D,2016,P1,2
BMW,320I,1987,P1,3
BMW,320I,2000,P1,28
BMW,320I,2003,P1,14
BMW,320I,2004,P1,6
BMW,320I,2005,P1,149
BMW,320I,2006,P1,153
BMW,320I,2007,P1,213
BMW,320I,2008,P1,141
BMW,320I,2009,P1,179
BMW,320I,2010,P1,140
BMW,320I,2011,P1,144
BMW,320I,2012,P1,106
BMW,320I,2013,P1,211
BMW,320I,2014,P1,194
BMW,320I,2015,P1,169
BMW,320I,2016,P1,120
BMW,320I,2017,P1,3
BMW,320I,2019,P1,12
BMW,320I,2020,P1,82
BMW,320I,2021,P1,37
BMW,320I,2022,P1,49
BMW,320I,2023,P1,64
BMW,323I,1999,P1,7
BMW,323I,2009,P1,56
BMW,323I,2010,P1,81
BMW,323I,2011,P1,52
BMW,323I,2012,P1,12
BMW,325I,1994,P1,33
BMW,325I,2001,P1,23
BMW,325I,2003,P1,29
BMW,325I,2005,P1,49
BMW,325I,2006,P1,67
BMW,325I,2007,P1,95
BMW,325I,2008,P1,53
BMW,325I,2010,P1,37
BMW,325I,2011,P1,32
BMW,325I,2012,P1,4
BMW,328I,2012,P1,168
BMW,328I,2013,P1,129
BMW,328I,2014,P1,71
BMW,328I,2015,P1,57
BMW,328I,2016,P1,9
BMW,330E,2016,P1,69
BMW,330E,2017,P1,174
BMW,330E,2018,P1,180
BMW,330E,2019,P1,52
BMW,330E,2020,P1,8
BMW,330E,2021,P1,2
BMW,330E,2022,P1,13
BMW,330E,2023,P1,8
BMW,330I,2007,P1,2
BMW,330I,2015,P1,19
BMW,330I,2016,P1,21
BMW,330I,2019,P1,77
BMW,330I,2020,P1,40
BMW,330I,2021,P1,41
BMW,330I,2022,P1,34
BMW,330I,2023,P1,34
BMW,330LI,2021,P1,10
BMW,330LI,2022,P1,23
BMW,330LI,2023,P1,13
BMW,335I,2008,P1,9
BMW,335I,2010,P1,1
BMW,335I,2012,P1,1
BMW,420I,2014,P1,8
BMW,420I,2015,P1,4
BMW,420I,2016,P1,7
BMW,420I,2018,P1,1
BMW,428I,2013,P1,9
BMW,428I,2014,P1,8
BMW,428I,2015,P1,11
BMW,430I,2016,P1,5
BMW,430I,2017,P1,1
BMW,430I,2018,P1,1
BMW,430I,2021,P1,3
BMW,430I,2022,P1,2
BMW,430I,2023,P1,1
BMW,520D,2011,P1,44
BMW,520D,2012,P1,27
BMW,520D,2013,P1,26
BMW,520D,2014,P1,15
BMW,520D,2016,P1,1
BMW,520I,2002,P1,15
BMW,520I,2003,P1,38
BMW,520I,2004,P1,86
BMW,520I,2005,P1,53
BMW,520I,2006,P1,3
BMW,520I,2012,P1,132
BMW,520I,2013,P1,81
BMW,520I,2014,P1,60
BMW,520I,2015,P1,44
BMW,520I,2016,P1,44
BMW,520I,2017,P1,15
BMW,520I,2019,P1,10
BMW,520I,2020,P1,4
BMW,523D,2018,P1,1
BMW,523I,1997,P1,38
BMW,523I,2005,P1,53
BMW,523I,2006,P1,117
BMW,523I,2007,P1,114
BMW,523I,2008,P1,108
BMW,523I,2009,P1,45
BMW,523I,2010,P1,169
BMW,523I,2011,P1,249
BMW,523I,2012,P1,15
BMW,523I,2018,P1,4
BMW,525I,2001,P1,14
BMW,525I,2002,P1,17
BMW,525I,2003,P1,32
BMW,525I,2004,P1,227
BMW,525I,2005,P1,236
BMW,525I,2006,P1,200
BMW,525I,2007,P1,115
BMW,525I,2008,P1,102
BMW,525I,2010,P1,29
BMW,528I,2010,P1,26
BMW,528I,2011,P1,70
BMW,528I,2012,P1,115
BMW,528I,2013,P1,102
BMW,528I,2014,P1,78
BMW,528I,2015,P1,73
BMW,528I,2016,P1,36
BMW,530E,2018,P1,97
BMW,530E,2019,P1,52
BMW,530E,2020,P1,11
BMW,530E,2021,P1,7
BMW,530E,2022,P1,19
BMW,530E,2023,P1,7
BMW,530I,2005,P1,37
BMW,530I,2007,P1,26
BMW,530I,2008,P1,24
BMW,530I,2009,P1,5
BMW,530I,2017,P1,83
BMW,530I,2018,P1,48
BMW,530I,2019,P1,66
BMW,530I,2020,P1,18
BMW,530I,2021,P1,9
BMW,530I,2022,P1,32
BMW,530I,2023,P1,19
BMW,535I,2010,P1,34
BMW,535I,2011,P1,18
BMW,535I,2012,P1,7
BMW,540I,2018,P1,3
BMW,630I,2005,P1,14
BMW,630I,2006,P1,15
BMW,630I,2007,P1,10
BMW,630I,2019,P1,9
BMW,630I,2020,P1,2
BMW,630I,2021,P1,1
BMW,630I,2022,P1,2
BMW,640I,2011,P1,2
BMW,640I,2012,P1,7
BMW,640I,2013,P1,3
BMW,645CI,2005,P1,5
BMW,728I,1997,P1,3
BMW,730LD,2009,P1,4
BMW,730LD,2011,P1,1
BMW,730LI,2004,P1,16
BMW,730LI,2006,P1,13
BMW,730LI,2007,P1,5
BMW,730LI,2008,P1,2
BMW,730LI,2010,P1,26
BMW,730LI,2011,P1,12
BMW,730LI,2012,P1,7
BMW,730LI,2013,P1,7
BMW,730LI,2014,P1,4
BMW,730LI,2015,P1,4
BMW,730LI,2016,P1,23
BMW,740I,2009,P1,2
BMW,740LE,2019,P1,12
BMW,740LE,2020,P1,8
BMW,740LE,2021,P1,7
BMW,740LE,2022,P1,6
BMW,740LI,2009,P1,12
BMW,740LI,2011,P1,2
BMW,740LI,2012,P1,2
BMW,740LI,2015,P1,1
BMW,740LI,2016,P1,6
BMW,750E,2023,P1,1
BMW,840I,2019,P1,1
BMW,CLUBMAN,2008,P1,1
BMW,CLUBMAN,2016,P1,1
BMW,CLUBMAN,2019,P1,2
BMW,COOPER,2002,P1,6
BMW,COOPER,2003,P1,9
BMW,COOPER,2004,P1,9
BMW,COOPER,2005,P1,21
BMW,COOPER,2006,P1,11
BMW,COOPER,2007,P1,12
BMW,COOPER,2008,P1,10
BMW,COOPER,2009,P1,5
BMW,COOPER,2010,P1,7
BMW,COOPER,2011,P1,24
BMW,COOPER,2012,P1,13
BMW,COOPER,2013,P1,12
BMW,COOPER,2014,P1,5
BMW,COOPER,2017,P1,13
BMW,I8,2015,P1,1
BMW,I8,2016,P1,3
BMW,M135I,2020,P1,1
BMW,M135I,2022,P1,1
BMW,M2,2017,P1,2
BMW,M2,2019,P1,3
BMW,M3,2008,P1,7
BMW,M3,2010,P1,2
BMW,M3,2011,P1,1
BMW,M3,2021,P1,1
BMW,M3,2022,P1,1
BMW,M3,2023,P1,2
BMW,M340I,2020,P1,1
BMW,M340I,2021,P1,4
BMW,M340I,2022,P1,3
BMW,M340I,2023,P1,26
BMW,M4,2014,P1,1
BMW,M4,2015,P1,4
BMW,M4,2016,P1,1
BMW,M4,2017,P1,3
BMW,M4,2018,P1,2
BMW,M4,2020,P1,1
BMW,M4,2021,P1,2
BMW,M4,2022,P1,2
BMW,M4,2023,P1,1
BMW,M5,2012,P1,2
BMW,M5,2013,P1,3
BMW,M5,2018,P1,1
BMW,M5,2019,P1,2
BMW,M5,2020,P1,1
BMW,M5,2021,P1,1
BMW,M5,2023,P1,1
BMW,M6,2012,P1,1
BMW,M6,2014,P1,2
BMW,M850I,2019,P1,1
BMW,M850I,2020,P1,1
BMW,ONE,2013,P1,1
BMW,ONE,2018,P1,1
BMW,ONE,2019,P1,1
BMW,PACEMAN,2014,P1,1
BMW,X1,2010,P1,26
BMW,X1,2011,P1,75
BMW,X1,2012,P1,30
BMW,X1,2013,P1,59
BMW,X1,2014,P1,32
BMW,X1,2015,P1,26
BMW,X1,2016,P1,53
BMW,X1,2017,P1,71
BMW,X1,2018,P1,78
BMW,X1,2019,P1,81
BMW,X1,2020,P1,30
BMW,X1,2021,P1,49
BMW,X1,2022,P1,49
BMW,X1,2023,P1,7
BMW,X2,2018,P1,9
BMW,X2,2019,P1,4
BMW,X2,2020,P1,1
BMW,X3,2004,P1,20
BMW,X3,2005,P1,10
BMW,X3,2006,P1,2
BMW,X3,2007,P1,18
BMW,X3,2011,P1,7
BMW,X3,2012,P1,16
BMW,X3,2013,P1,20
BMW,X3,2014,P1,30
BMW,X3,2015,P1,27
BMW,X3,2016,P1,20
BMW,X3,2018,P1,53
BMW,X3,2019,P1,58
BMW,X3,2020,P1,22
BMW,X3,2021,P1,17
BMW,X3,2022,P1,51
BMW,X3,2023,P1,49
BMW,X4,2014,P1,2
BMW,X4,2015,P1,19
BMW,X4,2016,P1,15
BMW,X4,2019,P1,9
BMW,X4,2020,P1,22
BMW,X4,2021,P1,20
BMW,X4,2022,P1,30
BMW,X4,2023,P1,48
BMW,X5,2002,P1,14
BMW,X5,2003,P1,23
BMW,X5,2004,P1,31
BMW,X5,2005,P1,24
BMW,X5,2006,P1,10
BMW,X5,2007,P1,36
BMW,X5,2008,P1,39
BMW,X5,2010,P1,21
BMW,X5,2011,P1,13
BMW,X5,2012,P1,1
BMW,X5,2013,P1,12
BMW,X5,2014,P1,18
BMW,X5,2015,P1,16
BMW,X5,2016,P1,27
BMW,X5,2017,P1,175
BMW,X5,2018,P1,135
BMW,X5,2019,P1,17
BMW,X5,2020,P1,22
BMW,X5,2021,P1,25
BMW,X5,2022,P1,52
BMW,X5,2023,P1,42
BMW,X6,2008,P1,69
BMW,X6,2009,P1,73
BMW,X6,2010,P1,33
BMW,X6,2011,P1,22
BMW,X6,2012,P1,10
BMW,X6,2013,P1,13
BMW,X6,2014,P1,4
BMW,X6,2015,P1,13
BMW,X6,2016,P1,1
BMW,X6,2018,P1,1
BMW,X6,2022,P1,3
BMW,X6,2023,P1,2
BMW,X7,2020,P1,1
BMW,X7,2021,P1,4
BMW,X7,2022,P1,7
BMW,X7,2023,P1,3
BMW,Z3,1997,P1,3
BMW,Z3,2000,P1,1
BMW,Z4,2003,P1,7
BMW,Z4,2004,P1,14
BMW,Z4,2005,P1,5
BMW,Z4,2007,P1,5
BMW,Z4,2009,P1,12
BMW,Z4,2010,P1,10
BMW,Z4,2011,P1,6
BMW,Z4,2012,P1,4
BMW,Z4,2019,P1,7
BMW,Z4,2020,P1,2
BMW,Z4,2022,P1,3
BMW,Z4,2023,P1,1
CAM,KINGO,2022,P1,1
CHERY,EASTAR,2010,P1,1
CHERY,EASTAR,2011,P1,72
CHERY,EASTAR,2012,P1,170
CHERY,EASTAR,2013,P1,63
CHERY,EASTAR,2014,P1,20
CHERY,TIGGO,2013,P1,4
CHEVROLET,AVEO,2003,P1,260
CHEVROLET,AVEO,2004,P1,443
CHEVROLET,AVEO,2005,P1,339
CHEVROLET,CAPTIVA,2008,P1,44
CHEVROLET,CAPTIVA,2011,P1,28
CHEVROLET,CAPTIVA,2012,P1,28
CHEVROLET,CAPTIVA,2013,P1,9
CHEVROLET,COLORADO,2013,P1,149
CHEVROLET,COLORADO,2014,P1,39
CHEVROLET,COLORADO,2015,P1,29
CHEVROLET,COLORADO,2017,P1,24
CHEVROLET,CRUZE,2010,P1,112
CHEVROLET,CRUZE,2011,P1,49
CHEVROLET,CRUZE,2012,P1,82
CHEVROLET,CRUZE,2013,P1,46
CHEVROLET,CRUZE,2014,P1,3
CHEVROLET,CRUZE,2015,P1,21
CHEVROLET,MALIBU,2014,P1,23
CHEVROLET,MALIBU,2015,P1,49
CHEVROLET,OPTRA,2005,P1,202
CHEVROLET,OPTRA,2006,P1,37
CHEVROLET,ORLANDO,2012,P1,1
CHEVROLET,ORLANDO,2013,P1,38
CHEVROLET,SONIC,2013,P1,43
CHEVROLET,SONIC,2015,P1,5
CHRYSLER,WRANGLER,2012,P1,1
CHRYSLER,WRANGLER,2013,P1,1
CITROEN,C4,2012,P1,8
CITROEN,C5,2010,P1,4
CITROEN,DS3,2014,P1,11
CITROEN,DS3,2015,P1,2
CITROEN,DS3,2016,P1,2
CITROEN,DS5,2018,P1,1
DAIHATSU,COPEN,2021,P1,1
DAIHATSU,FEROZA,1991,P1,98
DAIHATSU,HIJET,1992,P1,10
DAIHATSU,HIJET,1999,P1,1
DAIHATSU,TAFT,2020,P1,3
DAIHATSU,TAFT,2021,P1,3
DATSUN,VANETTE,1990,P1,1
DATSUN,VANETTE,1997,P1,1
FERRARI,360,2001,P1,1
FERRARI,360,2002,P1,1
FERRARI,CALIFORNIA,2011,P1,1
FERRARI,CALIFORNIA,2015,P1,1
FERRARI,F430,2005,P1,1
FERRARI,F430,2006,P1,5
FERRARI,F430,2007,P1,4
FERRARI,F430,2008,P1,1
FERRARI,PORTOFINO,2019,P1,1
FIAT,500,2008,P1,2
FORD,ECONOVAN,2007,P1,28
FORD,ECOSPORT,2014,P1,129
FORD,ECOSPORT,2015,P1,21
FORD,ECOSPORT,2016,P1,3
FORD,ESCAPE,2005,P1,41
FORD,ESCAPE,2006,P1,22
FORD,ESCAPE,2009,P1,10
FORD,ESCAPE,2010,P1,12
FORD,ESCAPE,2011,P1,23
FORD,ESCAPE,2012,P1,20
FORD,EVEREST,2005,P1,61
FORD,EVEREST,2006,P1,52
FORD,EVEREST,2007,P1,11
FORD,EVEREST,2022,P1,4
FORD,EVEREST,2023,P1,8
FORD,FIESTA,2010,P1,153
FORD,FIESTA,2011,P1,646
FORD,FIESTA,2012,P1,551
FORD,FIESTA,2013,P1,458
FORD,FIESTA,2014,P1,166
FORD,FIESTA,2015,P1,69
FORD,FIESTA,2016,P1,10
FORD,FOCUS,2006,P1,13
FORD,FOCUS,2009,P1,25
FORD,FOCUS,2011,P1,22
FORD,FOCUS,2012,P1,97
FORD,FOCUS,2013,P1,193
FORD,FOCUS,2014,P1,88
FORD,FOCUS,2015,P1,12
FORD,FOCUS,2016,P1,25
FORD,KUGA,2013,P1,133
FORD,KUGA,2014,P1,66
FORD,KUGA,2015,P1,7
FORD,LASER,1995,P1,57
FORD,MONDEO,2009,P1,4
FORD,MONDEO,2010,P1,14
FORD,MONDEO,2012,P1,5
FORD,MONDEO,2013,P1,1
FORD,MUSTANG,2015,P1,1
FORD,MUSTANG,2016,P1,56
FORD,MUSTANG,2017,P1,31
FORD,MUSTANG,2018,P1,32
FORD,MUSTANG,2019,P1,12
FORD,MUSTANG,2020,P1,9
FORD,MUSTANG,2021,P1,1
FORD,RANGER,2000,P1,330
FORD,RANGER,2002,P1,732
FORD,RANGER,2003,P1,614
FORD,RANGER,2004,P1,495
FORD,RANGER,2007,P1,234
FORD,RANGER,2008,P1,140
FORD,RANGER,2009,P1,266
FORD,RANGER,2010,P1,304
FORD,RANGER,2011,P1,403
FORD,RANGER,2012,P1,393
FORD,RANGER,2013,P1,890
FORD,RANGER,2014,P1,1239
FORD,RANGER,2015,P1,894
FORD,RANGER,2016,P1,825
FORD,RANGER,2017,P1,783
FORD,RANGER,2018,P1,570
FORD,RANGER,2019,P1,677
FORD,RANGER,2020,P1,291
FORD,RANGER,2021,P1,385
FORD,RANGER,2022,P1,529
FORD,RANGER,2023,P1,633
FORD,S-MAX,2011,P1,7
FORD,TRANSIT,2014,P1,4
FOTON,VIEW,2013,P1,10
FOTON,VIEW,2015,P1,6
FOTON,VIEW,2017,P1,8
FOTON,VIEW,2018,P1,14
FOTON,VIEW,2019,P1,14
FOTON,VIEW,2020,P1,10
FOTON,VIEW,2021,P1,1
FOTON,VIEW,2022,P1,11
FOTON,VIEW,2023,P1,11
GOLDEN DRAGON,X5,2022,P1,1
GOLDEN DRAGON,X5,2023,P1,1
GREAT WALL,H1,2017,P1,2
GREAT WALL,H1,2018,P1,1
GREAT WALL,H1,2019,P1,24
GREAT WALL,H1,2020,P1,9
GREAT WALL,H1,2021,P1,2
HITACHI,CAMRY,2007,P1,1
HONDA,ACCORD,1981,P1,30
HONDA,ACCORD,1987,P1,57
HONDA,ACCORD,1991,P1,822
HONDA,ACCORD,1993,P1,658
HONDA,ACCORD,1994,P1,590
HONDA,ACCORD,1995,P1,351
HONDA,ACCORD,1997,P1,515
HONDA,ACCORD,1998,P1,81
HONDA,ACCORD,2000,P1,374
HONDA,ACCORD,2001,P1,285
HONDA,ACCORD,2002,P1,170
HONDA,ACCORD,2003,P1,308
HONDA,ACCORD,2004,P1,1182
HONDA,ACCORD,2005,P1,1482
HONDA,ACCORD,2006,P1,845
HONDA,ACCORD,2007,P1,476
HONDA,ACCORD,2008,P1,1383
HONDA,ACCORD,2009,P1,1010
HONDA,ACCORD,2010,P1,1225
HONDA,ACCORD,2011,P1,691
HONDA,ACCORD,2012,P1,467
HONDA,ACCORD,2013,P1,538
HONDA,ACCORD,2014,P1,1475
HONDA,ACCORD,2015,P1,848
HONDA,ACCORD,2016,P1,556
HONDA,ACCORD,2017,P1,498
HONDA,ACCORD,2018,P1,291
HONDA,ACCORD,2019,P1,52
HONDA,ACCORD,2020,P1,61
HONDA,ACCORD,2021,P1,46
HONDA,ACCORD,2022,P1,76
HONDA,ACCORD,2023,P1,98
HONDA,BR-V,2017,P1,1549
HONDA,BR-V,2018,P1,977
HONDA,BR-V,2019,P1,699
HONDA,BR-V,2020,P1,162
HONDA,BR-V,2021,P1,236
HONDA,BR-V,2022,P1,252
HONDA,CITY,1996,P1,152
HONDA,CITY,1997,P1,588
HONDA,CITY,1998,P1,239
HONDA,CITY,2000,P1,1
HONDA,CITY,2001,P1,174
HONDA,CITY,2003,P1,2041
HONDA,CITY,2004,P1,1890
HONDA,CITY,2005,P1,2380
HONDA,CITY,2006,P1,2258
HONDA,CITY,2007,P1,1635
HONDA,CITY,2008,P1,1667
HONDA,CITY,2009,P1,2972
HONDA,CITY,2010,P1,2765
HONDA,CITY,2011,P1,1427
HONDA,CITY,2012,P1,1522
HONDA,CITY,2013,P1,1762
HONDA,CITY,2014,P1,3604
HONDA,CITY,2015,P1,3904
HONDA,CITY,2016,P1,3112
HONDA,CITY,2017,P1,3153
HONDA,CITY,2018,P1,3252
HONDA,CITY,2019,P1,3627
HONDA,CITY,2020,P1,1010
HONDA,CITY,2021,P1,1129
HONDA,CITY,2022,P1,4063
HONDA,CITY,2023,P1,3634
HONDA,CIVIC,1991,P1,546
HONDA,CIVIC,1992,P1,683
HONDA,CIVIC,1993,P1,447
HONDA,CIVIC,1994,P1,632
HONDA,CIVIC,1995,P1,785
HONDA,CIVIC,1996,P1,2029
HONDA,CIVIC,1997,P1,1580
HONDA,CIVIC,1998,P1,330
HONDA,CIVIC,1999,P1,319
HONDA,CIVIC,2000,P1,147
HONDA,CIVIC,2001,P1,431
HONDA,CIVIC,2002,P1,274
HONDA,CIVIC,2003,P1,410
HONDA,CIVIC,2004,P1,520
HONDA,CIVIC,2005,P1,533
HONDA,CIVIC,2006,P1,1520
HONDA,CIVIC,2007,P1,1695
HONDA,CIVIC,2008,P1,1600
HONDA,CIVIC,2009,P1,1283
HONDA,CIVIC,2010,P1,1378
HONDA,CIVIC,2011,P1,926
HONDA,CIVIC,2012,P1,922
HONDA,CIVIC,2013,P1,1275
HONDA,CIVIC,2014,P1,480
HONDA,CIVIC,2015,P1,423
HONDA,CIVIC,2016,P1,1330
HONDA,CIVIC,2017,P1,1692
HONDA,CIVIC,2018,P1,1969
HONDA,CIVIC,2019,P1,881
HONDA,CIVIC,2020,P1,841
HONDA,CIVIC,2021,P1,546
HONDA,CIVIC,2022,P1,916
HONDA,CIVIC,2023,P1,1337
HONDA,CR-V,1996,P1,131
HONDA,CR-V,1997,P1,183
HONDA,CR-V,1998,P1,66
HONDA,CR-V,2000,P1,8
HONDA,CR-V,2001,P1,24
HONDA,CR-V,2002,P1,635
HONDA,CR-V,2003,P1,622
HONDA,CR-V,2004,P1,230
HONDA,CR-V,2005,P1,428
HONDA,CR-V,2006,P1,219
HONDA,CR-V,2007,P1,970
HONDA,CR-V,2008,P1,689
HONDA,CR-V,2009,P1,532
HONDA,CR-V,2010,P1,815
HONDA,CR-V,2011,P1,482
HONDA,CR-V,2012,P1,328
HONDA,CR-V,2013,P1,967
HONDA,CR-V,2014,P1,616
HONDA,CR-V,2015,P1,729
HONDA,CR-V,2016,P1,469
HONDA,CR-V,2017,P1,687
HONDA,CR-V,2018,P1,1029
HONDA,CR-V,2019,P1,1068
HONDA,CR-V,2020,P1,283
HONDA,CR-V,2021,P1,395
HONDA,CR-V,2022,P1,736
HONDA,CR-V,2023,P1,915
HONDA,CR-Z,2011,P1,14
HONDA,CR-Z,2012,P1,364
HONDA,CR-Z,2013,P1,207
HONDA,CROSSROAD,2008,P1,1
HONDA,CRX,1990,P1,7
HONDA,CRX,1992,P1,1
HONDA,ELYSION,2004,P1,25
HONDA,ELYSION,2006,P1,12
HONDA,ELYSION,2008,P1,29
HONDA,ELYSION,2009,P1,2
HONDA,ELYSION,2010,P1,1
HONDA,FIT,2002,P1,5
HONDA,FIT,2017,P1,4
HONDA,FIT,2018,P1,8
HONDA,FIT,2019,P1,1
HONDA,FREED,2010,P1,120
HONDA,FREED,2011,P1,19
HONDA,FREED,2012,P1,108
HONDA,HR-V,2015,P1,2003
HONDA,HR-V,2016,P1,2696
HONDA,HR-V,2017,P1,1943
HONDA,HR-V,2018,P1,794
HONDA,HR-V,2019,P1,1530
HONDA,HR-V,2020,P1,596
HONDA,HR-V,2021,P1,692
HONDA,HR-V,2022,P1,796
HONDA,HR-V,2023,P1,1713
HONDA,INSIGHT,2011,P1,706
HONDA,INSIGHT,2012,P1,274
HONDA,INSIGHT,2013,P1,29
HONDA,INTEGRA,1993,P1,12
HONDA,INTEGRA,2002,P1,6
HONDA,INTEGRA,2005,P1,29
